Party,Name,OfficialName,Type,Status,Seasonality,SiteName,Latitude,Longitude,MaxPopulation,Capacity,Remarks,DateEstablished,AccommodationCapacity,MedicalFacilities,OperatingPeriodFrom,OperatingPeriodTo,UrlLink
Argentina,Belgrano I,,Station,Open,Year-Round,Filchner; barrera de hielos,-79,-40,,,Clausurada desde Campaña Antártica de Verano 1980. ,1955,,,October,December,
Argentina,Belgrano II Antarctic Base,Base Antártica Belgrano II,Station,Open,Year-Round,Belgrano II Antarctic Base,-77.873889,-34.627778,27,27,Reemplazó a la Base original Belgrano I  inaugurada en febrero de 1955.        MEDIOS DE TRANSPORTE:    - Tucker Snow-Cat. (Cantidad 3)    - Muskeg gasolero GM3-53. (Cantidad 1)    - Moto Ski-Doo Scandic 800cc (Cantidad 2)    - Moto Yamaha VK 540. (Cantidad 4)     ,1979,Total de instalaciones: 13    Instalaciones para alojamiento: 4,Personal de sanidad permanente (1 médico y 1 enfermero)     - Instalación asistencial con 1 cama.     - Equipo odontológico.     - Equipo rayos X y magnetoterapia con accesorios      - Electrocardiógrafo y desfribilador    ,October,December,
Argentina,Belgrano III,,Station,No Longer Exists,Year-Round,Filchner; barrera de hielos,-79,-40,,,Base Permanente. Ubicación móvil    Fecha de inauguración: 30 de enero de 1980    Estado: clausurada desde la Campaña Antártica de Verano 1983/84 y desaparecida desde 1986. ,,,,October,December,
Argentina,Brown Antarctic Base,Base Antártica Brown,Station,Temporarily Closed,Seasonal,Brown Antarctic Base,-64.895278,-62.870278,12,12,Apertura en abril de 1951.                              ,1951,3 construcciones     ,1 médico o enfermero    ,December,March,
Argentina,Cámara Antarctic Base,Base Antártica Cámara,Station,Temporarily Closed,Seasonal,Cámara Antarctic Base,-62.593611,-59.919167,15,15,Apertura 1 de abril de 1953.,1953,5 construcciones,1 médico y 1 enfermero,December,March,
Argentina,Carlini Antarctic Base,Base Antártica Carlini,Station,Open,Year-Round,Carlini Antarctic Base,-62.237778,-58.666667,90,90,Medios de Transporte:    Tractor John Deere 4410     Manipulador telescópico DIECI 35.12    Cuadriciclo Polaris todo terreno 4 x 4. Cantidad DOS (2)    Moto para nieve Sky-Doo modelo Rotax 600.     Moto para nieve Polaris modelo Wide track 600.     Bote Zodiac modelo Hurricane 733 OB    ,1953,Instalaciones para alojamiento: 7,- Personal de sanidad permanente: 1 médico    - 1 enfermería con una cama    - Consultorio odontológico    - Cámara hiperbárica,October,December,
Argentina,Decepción Antarctic Base,Base Antártica Decepción,Station,Temporarily Closed,Seasonal,Decepción Antarctic Base,-62.976667,-60.700556,30,15,Apertura 25 de enero de 1948. ,1948,8 construcciones.,1 médico y 1 enfermero    ,December,March,
Argentina,Ellsworth,,Station,No Longer Exists,Year-Round,Filchner; barrera de hielos,-79,-40,,,Base temporaria.    Fecha de inauguración: 1 de abril de 1957.    Estado: clausurada el 30 de diciembre de 1962  desaparecida. Desprendimiento barrera. ,,,,October,December,
Argentina,Esperanza Antarctic Base,Base Antártica Esperanza,Station,Open,Year-Round,Esperanza Antarctic Base,-63.396944,-56.997778,70,70,MEDIOS DE TRANSPORTE:    • Camión Unimog 416. (Cantidad 3)    • Camión Cisterna REO 6X6 (Cantidad 1)    • Muskeg gasolero GM3-53 (Cantidad 1)    • Muskeg naftero M-60 (Cantidad 1)    • Snow-Cat 1543 (Cantidad 1)    • Caterpillar D-4 (Cantidad 1)    • Vehículo Transporte Personal Ski-Doozer (Cantidad 1)    • Moto Alpine Ski-Doo 640 (Cantidad 2)    • Moto Yamaha 540 VK (Cantidad 4)    • Cuatriciclo Polaris Explorer 4x4 500cc (Cantidad 3)    • Acoplado remolque (AR) 1 5 Ton (Cantidad 2)    ,1952,Total de instalaciones: 29    Instalaciones para alojamiento: 14,Personal de sanidad permanente (1 médico y 1 enfermero).     •   Instalaciones y equipo asistencial clínico-quirúrgico con 2 camas.     •   Equipo de rayos X.    •   Ecógrafo      •   Equipo odontológico.     ,October,December,
Argentina,Marambio Antarctic Base,Base Antártica Marambio,Station,Open,Year-Round,Marambio Antarctic Base,-64.241667,-56.623056,147,82,MEDIOS DE TRANSPORTE:     Material Terrestre / vehículos especiales     - Motoniveladora  CAT H – 120 UNO ( 1 )    - Pala Cargadora CAT 924 Gz  UNO ( 1 )    - Motocompresor ATLAS COPCO UNO ( 1 )    - Topadora CAT D 6N UNO ( 1 )    - Cargadora Térex UNO ( 1 )    - Camión INTERNACIONAL UNO ( 1 )    - Pala Cargadora CRYBSA C-1100 UNO ( 1 )    - Rodillo autopropulsado CAT CS423E UNO ( 1 )    - Rodillo Vibrador Deutz UNO ( 1 )    - Autobomba OSHKOSH UNO ( 1 )        Material  de apoyo terrestre:     - Equipo Selenar 28 V UNO ( 1 )    - Hobart  28/115V UNO ( 1 )    - GTC / MA – 1 UNO ( 1 )    - DOLLY CINCO ( 5 )    - Balizamiento Eléctrico Portátil UNO ( 1 )        Material  de apoyo terrestre:       - Equipo Selenar 28 V   UNO   ( 1 )    - Hobart  28/115V   UNO   ( 1 )    - GTC / MA – 1   UNO   ( 1 )    - DOLLY   CINCO    ( 5 )    - Balizamiento Eléctrico Portátil   UNO   ( 1 )        ,1969,Alojamiento: 27 construcciones, Personal de sanidad permanente (1 médico y 1 enfermero).     - Instalación asistencial con 3 camas.     - Equipo de rayos X.     ,October,December,
