lon,lat,mean_skt,min_skt,mean_wind,max_wind
0.0,-90.0,-46.4445,-70.21959,0.5943188,9.768472
0.0,-89.0,-45.763012,-66.93692,6.521368,15.071287
0.0,-88.0,-45.502056,-67.5502,6.647275,15.48127
0.0,-87.0,-45.27187,-67.30087,7.3520374,16.510204
0.0,-86.0,-45.8281,-67.99083,7.0589433,16.334541
0.0,-85.0,-45.649914,-68.94643,6.872584,15.728868
0.0,-84.0,-44.23516,-65.73299,7.0886846,15.418037
0.0,-83.0,-42.10917,-63.216507,7.340197,16.122395
0.0,-82.0,-40.249428,-63.00244,6.5031323,15.026717
0.0,-81.0,-38.7331,-65.2699,7.843534,16.018562
0.0,-80.0,-39.789375,-64.789215,7.127879,14.898148
0.0,-79.0,-40.128372,-66.04016,6.878936,14.353591
0.0,-78.0,-40.424896,-67.29111,6.5049105,15.086535
0.0,-77.0,-40.775288,-67.61813,6.403184,19.11398
0.0,-76.0,-41.094185,-66.2746,6.3886533,20.733345
0.0,-75.0,-41.836716,-66.326904,5.6306915,18.312157
0.0,-74.0,-38.32605,-60.502243,6.1313624,16.734715
0.0,-73.0,-30.614944,-52.332947,7.348302,20.226656
0.0,-72.0,-21.392437,-46.702713,5.15026,27.657806
0.0,-71.0,-17.308048,-43.23166,5.8317323,32.82027
0.0,-70.0,-15.115518,-43.559265,6.839629,28.670061
0.0,-69.0,-9.7757225,-35.17627,6.875982,25.1168
0.0,-68.0,-8.7077265,-34.000183,6.633952,21.191437
0.0,-67.0,-7.7810855,-32.827118,6.571642,20.028679
0.0,-66.0,-6.952428,-31.832352,6.670575,18.02769
0.0,-65.0,-6.2007546,-30.977737,6.8658814,17.641739
0.0,-64.0,-5.7124023,-30.486862,7.116981,20.119976
0.0,-63.0,-5.332622,-29.673325,7.39546,20.333994
0.0,-62.0,-4.8816586,-29.344315,7.66572,21.87853
0.0,-61.0,-4.3355446,-27.757431,7.948837,22.556883
0.0,-60.0,-3.7287893,-25.603668,8.222857,22.17982
0.0,-59.0,-2.9685264,-25.404984,8.503124,21.075682
0.0,-58.0,-2.201473,-20.698807,8.731631,20.700354
0.0,-57.0,-1.6010641,-18.792633,8.939163,21.021986
0.0,-56.0,-1.0031353,-17.366302,9.148543,21.438532
0.0,-55.0,-0.36744544,-15.002686,9.39752,21.769115
0.0,-54.0,0.22368464,-9.578766,9.629863,21.42243
0.0,-53.0,0.8202246,-2.2774963,9.796702,20.416563
0.0,-52.0,1.7780497,-0.39450073,9.989517,20.123297
0.0,-51.0,2.4240541,-0.028839111,10.066975,20.396595
0.0,-50.0,3.2960498,0.5912781,10.138478,20.439325
0.0,-49.0,4.6594224,1.6439514,10.242557,19.897316
0.0,-48.0,4.9989305,2.3596802,10.086475,20.82905
0.0,-47.0,5.3413363,2.5071716,9.902073,21.016577
0.0,-46.0,6.006497,3.1960754,9.696036,20.56608
0.0,-45.0,7.566086,4.5713196,9.61621,20.274818
0.0,-44.0,9.296282,6.4793396,9.561425,19.682928
0.0,-43.0,10.257947,7.2673645,9.344361,19.080503
0.0,-42.0,10.7601,7.8534546,8.991309,18.669695
0.0,-41.0,11.401926,8.277283,8.616379,19.369862
0.0,-40.0,12.318165,8.935822,8.257117,18.360134
0.0,-39.0,13.503475,9.73877,7.9414644,17.674871
0.0,-38.0,14.687206,10.763977,7.615307,17.423376
0.0,-37.0,15.762597,11.699432,7.292932,18.32806
0.0,-36.0,16.544378,12.777313,6.9169364,19.532694
0.0,-35.0,17.334373,13.386078,6.577739,17.334406
0.0,-34.0,18.086735,13.748505,6.278944,16.870218
0.0,-33.0,18.685402,14.5980835,6.0193286,15.978885
0.0,-32.0,19.144001,15.444672,5.7688227,15.171542
0.0,-31.0,19.478546,15.655457,5.5610147,15.683203
0.0,-30.0,19.76615,16.065216,5.466317,15.174088
0.0,-29.0,20.079252,16.373535,5.4795413,13.9828005
0.0,-28.0,20.30112,16.516174,5.565327,13.474725
0.0,-27.0,20.47782,16.983765,5.716891,13.432644
0.0,-26.0,20.609247,17.055786,5.947273,13.905367
0.0,-25.0,20.739506,17.400269,6.1808915,14.141845
0.0,-24.0,20.827213,17.448914,6.4226847,14.260274
0.0,-23.0,20.911312,17.620178,6.668503,14.316404
0.0,-22.0,20.992163,17.606567,6.8700094,14.4120245
0.0,-21.0,21.072947,17.548187,7.0160165,14.403268
0.0,-20.0,21.174747,17.528717,7.109329,14.434082
0.0,-19.0,21.30229,17.592926,7.162036,14.122402
0.0,-18.0,21.423744,17.56958,7.1627555,14.076824
0.0,-17.0,21.555323,17.42752,7.122183,13.647492
0.0,-16.0,21.745201,17.585144,7.038177,13.267271
0.0,-15.0,22.01028,17.624084,6.945176,13.110792
0.0,-14.0,22.41241,17.93158,6.8397574,12.813341
0.0,-13.0,22.93761,19.200531,6.720288,12.55837
0.0,-12.0,23.414536,19.80774,6.5687847,12.134045
0.0,-11.0,23.869715,20.017944,6.421796,11.730316
0.0,-10.0,24.301575,20.78476,6.2708983,11.291735
0.0,-9.0,24.641918,21.257019,6.1139073,10.727479
0.0,-8.0,24.958,21.416168,5.9665403,10.215825
0.0,-7.0,25.252148,21.655151,5.8359714,9.730122
0.0,-6.0,25.52946,21.825623,5.7290063,9.676277
0.0,-5.0,25.713118,21.821747,5.6033955,9.334933
0.0,-4.0,25.800158,21.918243,5.441193,9.019675
0.0,-3.0,25.89532,21.50528,5.2482224,8.903735
0.0,-2.0,26.064096,21.49765,5.076694,8.947731
0.0,-1.0,26.382332,21.520813,4.9405413,8.84627
0.0,0.0,26.994823,21.853851,4.885329,8.671974
0.0,1.0,27.54866,23.883484,4.7522674,8.819447
0.0,2.0,27.829924,24.846527,4.5314965,9.0099535
0.0,3.0,27.873869,23.984375,4.3616505,9.166225
0.0,4.0,27.69826,23.137756,4.3360505,8.855953
0.0,5.0,27.26825,22.12378,4.581532,8.708162
0.0,6.0,27.828253,22.700653,1.9049038,4.1609445
0.0,7.0,28.779263,24.128052,1.7822907,4.131068
0.0,8.0,28.072033,23.437378,1.8876054,4.913348
0.0,9.0,27.825129,22.04007,1.8435341,3.954176
0.0,10.0,29.447084,22.717377,2.155902,5.033344
0.0,11.0,28.916168,21.533936,2.2921839,5.1791725
0.0,12.0,29.620274,19.985504,2.4663284,5.527674
0.0,13.0,29.772436,18.10019,2.3819258,5.615729
0.0,14.0,31.02196,18.006866,3.031054,6.9593697
0.0,15.0,32.578835,18.332672,3.533886,8.043838
0.0,16.0,32.958492,17.619537,3.675771,8.509076
0.0,17.0,31.63575,15.6354065,3.779239,10.106556
0.0,18.0,32.600857,15.500732,3.8078296,10.556886
0.0,19.0,30.231878,12.602814,3.6066546,9.844728
0.0,20.0,31.026428,10.823944,3.7954235,11.448501
0.0,21.0,30.297031,8.64679,3.7340462,10.737239
0.0,22.0,29.427126,9.652313,3.6418476,9.783765
0.0,23.0,28.640524,8.541016,3.6093175,9.210542
0.0,24.0,28.729967,8.262726,3.787116,10.091568
0.0,25.0,28.400902,8.003876,4.049992,11.209657
0.0,26.0,27.703678,5.5477295,4.037863,10.746908
0.0,27.0,28.364332,5.825836,4.0077057,10.8970175
0.0,28.0,27.434677,5.5667725,4.1651773,12.470087
0.0,29.0,26.410551,4.8300476,3.8394344,12.433139
0.0,30.0,23.109573,2.555664,3.8718286,13.622367
0.0,31.0,23.03793,1.812439,3.6600943,13.932552
0.0,32.0,21.546644,-0.3241577,3.481035,13.303532
0.0,33.0,18.933424,-3.44458,2.77994,11.4728365
0.0,34.0,18.205198,-3.9599304,3.0852962,12.701405
0.0,35.0,16.461285,-3.4775696,1.583052,8.2598505
0.0,36.0,19.196377,10.391724,3.249506,13.574278
0.0,37.0,19.4371,13.124054,5.524293,17.363264
0.0,38.0,19.552893,12.666077,4.777137,15.845059
0.0,39.0,19.008179,11.636322,3.098196,13.886174
0.0,40.0,17.50277,4.4579773,1.8014845,11.973818
0.0,41.0,15.909829,-2.4960022,2.8388247,10.530253
0.0,42.0,15.043414,-4.0218506,2.0067232,9.011289
0.0,43.0,8.10911,-12.087067,1.0613432,4.996757
0.0,44.0,13.760468,-5.4348755,2.1107662,8.558424
0.0,45.0,14.043067,-5.9058533,2.4569523,8.099665
0.0,46.0,12.874923,-5.9875793,3.048158,9.510383
