站点名称,更新周数,更新时间,起始时间,结束时间,温度(℃),湿度(%),气压(mb),风向,风速(m/s),周温差(℃),周最低温(℃),周报URL
中山站,2025年第14周,2025-04-05 17:45:00,2025-03-29,2025-04-04,-16.4,74.0,983.3,西,3.8,9.9,-23.8,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=138568
长城站,2025年第14周,2025-04-05 17:30:00,2025-03-29,2025-04-04,0.4,99.0,1004.1,西,6.7,9.3,-6.8,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=138568
泰山站,2025年第14周,2025-04-05 15:27:00,2025-03-29,2025-04-04,-45.8,64.0,694.0,东,7.5,15.3,-52.6,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=138568
昆仑站,2025年第14周,2025-04-05 14:59:00,2025-03-29,2025-04-04,-66.2,44.0,562.0,南,0.0,19.2,-72.3,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=138568
中山站,2025年第13周,2025-03-29 17:57:00,2025-03-22,2025-03-28,-13.3,44.0,978.5,东南,8.7,7.4,-14.6,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=138566
长城站,2025年第13周,2025-03-29 17:55:00,2025-03-22,2025-03-28,0.4,91.0,985.1,西,8.2,7.7,-4.5,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=138566
泰山站,2025年第13周,2025-03-29 16:02:00,2025-03-22,2025-03-28,-45.6,63.0,690.0,东,9.9,13.9,-48.4,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=138566
昆仑站,2025年第13周,2025-03-29 15:56:00,2025-03-22,2025-03-28,-66.0,45.0,567.0,南,0.0,22.6,-71.1,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=138566
长城站,2025年第12周,2025-03-22 16:50:00,2025-03-15,2025-03-21,0.5,77.0,993.2,西,11.5,4.7,-0.1,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=138527
中山站,2025年第12周,2025-03-22 16:42:00,2025-03-15,2025-03-21,-7.6,57.0,975.9,东,8.0,10.6,-14.9,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=138527
昆仑站,2025年第12周,2025-03-22 15:48:00,2025-03-15,2025-03-21,-57.9,53.0,570.0,东南,1.6,15.0,-67.0,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=138527
泰山站,2025年第12周,2025-03-22 15:42:00,2025-03-15,2025-03-21,-35.4,71.0,691.0,东,13.8,12.2,-43.4,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=138527
中山站,2025年第11周,2025-03-15 16:51:00,2025-03-08,2025-03-14,-6.7,50.0,982.7,东,7.1,7.3,-8.1,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=138508
长城站,2025年第11周,2025-03-15 16:50:00,2025-03-08,2025-03-14,2.6,97.0,986.1,北,7.1,7.5,-4.0,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=138508
泰山站,2025年第11周,2025-03-15 15:44:00,2025-03-08,2025-03-14,-32.2,72.0,697.0,东,10.8,14.8,-34.5,https://pole.whu.edu.cn/cn/gb_news.php?modid=02001&id=138508
